"transcript_id","length","expression","half_life","type","gc_content","mfe","seq_length","mfe_per_nt"
"NM_000016",2192,22.63,11.1666666666667,"coding",0.359133126934985,-556.7,2261,-0.246218487394958
"NM_000017",1829,2.63,4,"coding",0.63743948359333,-862.7,1859,-0.464066702528241
"NM_000021",2763,23.33,6.76923076923077,"coding",0.43436357593885,-1791,6018,-0.297607178464606
"NM_000022",1566,6.9,4.57142857142857,"coding",0.572860962566845,-582,1496,-0.38903743315508
"NM_000026",1692,36.56,21.6,"coding",0.453085570084882,-1564.07,4359,-0.358813948153246
"NM_000027",2041,1.6,4,"coding",0.401080019636721,-542.9,2037,-0.266519391261659
"NM_000031",3317,7.65,4.5,"coding",0.521891978267817,-1137.6,3129,-0.363566634707574
"NM_000033",3616,23.03,8.64,"coding",0.657672390297084,-1646.6,3669,-0.448787135459253
"NM_000038",10719,9.73,5.28571428571429,"coding",0.396020179372197,-2705.04,10704,-0.252713004484305
"NM_000046",6089,4.91,22,"coding",0.4719703215169,-1567.1,4852,-0.3229802143446
"NM_000047",1858,2.28,10.4242424242424,"coding",0.538530869761154,-789,2219,-0.355565570076611
"NM_000052",8122,4.03,8.90909090909091,"coding",0.38860103626943,-2282.3,8492,-0.268758831841733
"NM_000053",6644,1.33,4.5,"coding",0.519399818126705,-2409.7,6598,-0.365216732343134
"NM_000057",4528,11.93,3.17460317460317,"coding",0.412213740458015,-1402.3,5240,-0.267614503816794
"NM_000059",11386,1.15,2.63157894736842,"coding",0.361803580391501,-2879.6,11954,-0.240890078634767
"NM_000071",2544,26.21,3.50877192982456,"coding",0.587174348697395,-1014.3,2495,-0.406533066132265
"NM_000075",1474,164.62,9.92592592592593,"coding",0.520107238605898,-667.3,1865,-0.357801608579088
"NM_000076",1511,14.87,7.39393939393939,"coding",0.633041688111168,-839.3,1943,-0.431960885229027
"NM_000080",2463,1.76,5.52941176470588,"coding",0.589846897663175,-995.8,2482,-0.401208702659146
"NM_000084",3173,3.58,8.51282051282051,"coding",0.423775337837838,-2779.77,9472,-0.293472339527027
"NM_000088",5927,19.05,7.14285714285714,"coding",0.615488670950287,-2402,5914,-0.406154886709503
"NM_000089",5411,17.28,3.50877192982456,"coding",0.545347003154574,-1931.7,5072,-0.380855678233439
"NM_000093",8439,33.6,6.8,"coding",0.602463871120588,-3584.2,8442,-0.424567638000474
"NM_000094",9272,60.62,3.44827586206897,"coding",0.648467121655292,-4602.6,9231,-0.498602534936627
"NM_000097",2714,4.37,8,"coding",0.465854558877815,-928.6,2709,-0.342783314876338
"NM_000098",3090,6.33,5.94594594594595,"coding",0.515376065209337,-964.6,2699,-0.357391626528344
"NM_000101",743,51.56,10.4,"coding",0.680635838150289,-323.7,692,-0.467774566473988
"NM_000104",5128,24.11,2.8169014084507,"coding",0.439632042928325,-1608.7,5218,-0.308298198543503
"NM_000107",1820,12.19,4.33333333333333,"coding",0.539944903581267,-657.9,1815,-0.362479338842975
"NM_000108",3579,18.2,12,"coding",0.379417585524456,-947,3537,-0.267741023466214
"NM_000110",4407,8.91,3.38983050847458,"coding",0.406963599366945,-1196.7,4423,-0.270562966312458
"NM_000112",8082,2.57,4.72727272727273,"coding",0.395703998013409,-2430.3,8054,-0.301750682890489
"NM_000113",2117,31.72,5.2,"coding",0.483173076923077,-682.5,2080,-0.328125
"NM_000116",1934,5.63,9.05263157894737,"coding",0.603882476390346,-794.2,1906,-0.416684155299056
"NM_000117",1252,52.34,16.1379310344828,"coding",0.586260733801717,-501.6,1281,-0.391569086651054
"NM_000118",3142,21.56,22.2857142857143,"coding",0.631732641142115,-1266.9,3082,-0.411064243997404
"NM_000122",2751,20.34,4.71428571428571,"coding",0.504782928623988,-896.8,2718,-0.329948491537896
"NM_000123",4100,11.98,3.38983050847458,"coding",0.457047325102881,-1150.4,3888,-0.295884773662551
"NM_000124",4714,7.55,2.7027027027027,"coding",0.419620042217531,-2609.4,9001,-0.289901122097545
"NM_000127",3376,26.15,3.50877192982456,"coding",0.435521048162077,-2406.5,8243,-0.29194468033483
"NM_000135",5460,18.79,3.2258064516129,"coding",0.554475421863536,-2107.9,5452,-0.386628760088041
"NM_000136",4612,15,3.77358490566038,"coding",0.50609756097561,-1630.9,4592,-0.355161149825784
"NM_000137",1447,17.33,3.77358490566038,"coding",0.559065934065934,-525.4,1456,-0.360851648351648
"NM_000144",2270,8.29,4,"coding",0.444969905417025,-2415.59,6978,-0.346172255660648
"NM_000152",3846,15.65,3.2258064516129,"coding",0.647560650493202,-1754.4,3751,-0.46771527592642
"NM_000155",1347,14.4,3.7037037037037,"coding",0.547266514806378,-638.7,1756,-0.36372437357631
"NM_000158",2913,17.32,12.8275862068966,"coding",0.417205032301938,-832.6,2941,-0.283100986059164
"NM_000161",2941,2.49,3.77358490566038,"coding",0.429698216735254,-888.1,2916,-0.304561042524006
"NM_000163",4370,1.19,3.84615384615385,"coding",0.425597060624617,-1390.4,4899,-0.283813023065932
"NM_000165",3088,19.25,4.8,"coding",0.40447615958482,-837.5,3083,-0.27165098929614
"NM_000168",5054,3.09,2.5,"coding",0.514574657941701,-2729.87,8405,-0.324791195716835
"NM_000171",1715,4.33,2.1505376344086,"coding",0.514900662251656,-593.5,1812,-0.327538631346578
"NM_000179",4264,33.88,5,"coding",0.44947245017585,-1304.9,4265,-0.305955451348183
"NM_000181",2191,15.06,3.84615384615385,"coding",0.55525238744884,-812.2,2199,-0.369349704411096
"NM_000189",7109,47,4,"coding",0.505154639175258,-1982.7,5626,-0.352417348027017
"NM_000190",1526,18.97,10.1538461538462,"coding",0.565448504983389,-592.2,1505,-0.393488372093023
"NM_000191",1617,1.96,3.57142857142857,"coding",0.531847133757962,-598.7,1570,-0.381337579617834
"NM_000196",1944,2.38,6.76190476190476,"coding",0.632383966244726,-783.5,1896,-0.413238396624473
"NM_000197",1134,3.9,2.66666666666667,"coding",0.492666091458154,-369.6,1159,-0.318895599654875
"NM_000199",2740,8.98,3.57142857142857,"coding",0.618853974121996,-1115.4,2705,-0.412347504621072
"NM_000201",2986,2.64,6.45614035087719,"coding",0.560498820357263,-1140.7,2967,-0.384462419952814
"NM_000203",2203,2.66,2.8169014084507,"coding",0.674333026678933,-981.9,2174,-0.45165593376265
"NM_000208",4691,3.92,3.84615384615385,"coding",0.505442248758322,-3298.1,9463,-0.34852583747226
"NM_000210",5611,3.92,11.0769230769231,"coding",0.424690508940853,-1678.7,5816,-0.288634800550206
"NM_000214",5896,9.54,2.89855072463768,"coding",0.495791245791246,-2001.8,5940,-0.337003367003367
"NM_000215",4025,1.79,2.8169014084507,"coding",0.583735610842926,-2191.91,5386,-0.406964352023765
"NM_000216",6314,1.16,9.57575757575758,"coding",0.397446129289705,-1698.5,6265,-0.271109337589785
"NM_000229",1354,3.55,2.73972602739726,"coding",0.607620320855615,-608.2,1496,-0.406550802139037
"NM_000232",4229,4.58,13.3333333333333,"coding",0.379001883239171,-1123.5,4248,-0.264477401129944
"NM_000234",3083,17.96,3.77358490566038,"coding",0.59904,-1289.5,3125,-0.41264
"NM_000237",3549,44.43,9.63636363636364,"coding",0.43562412342216,-1007.5,3565,-0.282608695652174
"NM_000245",6641,12.41,10.9333333333333,"coding",0.435209615948402,-2026.7,6822,-0.297082966871885
"NM_000249",2524,10.17,3.38983050847458,"coding",0.454290296712109,-745.9,2494,-0.299077786688051
"NM_000251",3145,19.05,9.44,"coding",0.402568218298555,-845.5,3115,-0.271428571428571
"NM_000252",3411,3.19,2.5974025974026,"coding",0.381887456037515,-873.8,3412,-0.25609613130129
"NM_000254",7122,7.33,8.18181818181818,"coding",0.450080591637432,-3279.4,10547,-0.310932018583483
"NM_000255",2798,5.89,9.90476190476191,"coding",0.393597480976122,-1013.1,3811,-0.265835738651273
"NM_000263",2798,5.24,3.77358490566038,"coding",0.64040404040404,-1190,2475,-0.480808080808081
"NM_000264",6825,9.71,2.85714285714286,"coding",0.523551142923112,-3081.74,8662,-0.355776956822905
"NM_000267",12394,6.05,9.5,"coding",0.415922014622258,-3331.2,12310,-0.270609260763607
"NM_000268",6081,21.79,9.84615384615385,"coding",0.556470588235294,-2291.6,5950,-0.385142857142857
"NM_000270",1418,118.91,4.76190476190476,"coding",0.50101557210562,-491.4,1477,-0.332701421800948
"NM_000271",4677,18.92,10.5333333333333,"coding",0.491386554621849,-1564.3,4760,-0.328634453781513
"NM_000280",2816,4,2.17391304347826,"coding",0.451684561273602,-764.3,2701,-0.282969270640503
"NM_000282",2518,10.92,2.7027027027027,"coding",0.444444444444444,-734.97,2484,-0.295881642512077
"NM_000286",2609,1.88,2.38095238095238,"coding",0.436377531524647,-755.4,2617,-0.288651127244937
"NM_000287",3287,3.11,4.8,"coding",0.617015098722416,-1582.7,3444,-0.459552845528455
"NM_000288",1451,4.85,3.03030303030303,"coding",0.452544704264099,-475.1,1454,-0.326753782668501
"NM_000289",2812,81.1,11.04,"coding",0.503883495145631,-1090.2,3090,-0.352815533980583
"NM_000290",845,5.92,2.40963855421687,"coding",0.622461170848268,-336.4,837,-0.401911589008363
"NM_000292",4566,8.49,3.7037037037037,"coding",0.515461886941107,-1753,5077,-0.345282647232618
"NM_000294",1571,13.39,5.91304347826087,"coding",0.534918276374443,-2016.3,5384,-0.374498514115899
"NM_000297",5073,2.52,2.63157894736842,"coding",0.450186677146787,-1581.1,5089,-0.310689722931814
"NM_000299",5451,1.3,2.5,"coding",0.562813137873446,-2114.4,5389,-0.392354796808313
"NM_000303",2302,33.96,3.38983050847458,"coding",0.528665207877462,-825.7,2285,-0.361356673960613
"NM_000305",1669,43.94,11.1724137931034,"coding",0.420496894409938,-443.1,1610,-0.275217391304348
"NM_000309",1703,2.83,11.1428571428571,"coding",0.594497607655502,-721,1672,-0.43122009569378
"NM_000312",1776,2.06,2.38095238095238,"coding",0.596382136800452,-735.3,1769,-0.415658564160543
"NM_000313",3309,1.66,4,"coding",0.395314353499407,-914.8,3372,-0.27129300118624
"NM_000314",5572,12.57,3.57142857142857,"coding",0.367234292425132,-2197.1,8515,-0.258027011156782
"NM_000317",921,10.05,3.7037037037037,"coding",0.370412844036697,-199.1,872,-0.228325688073394
"NM_000318",1630,8.87,3.57142857142857,"coding",0.398656752218758,-1182.8,4169,-0.283713120652435
"NM_000319",3215,30.44,7.46666666666667,"coding",0.540927482103953,-1230.7,3213,-0.383037659508248
"NM_000320",1550,36.36,8.33333333333333,"coding",0.500995355009954,-508.3,1507,-0.337292634372926
"NM_000321",4772,7.64,9.92,"coding",0.370805369127517,-1155.9,4768,-0.242428691275168
"NM_000332",10692,4.18,2.56410256410256,"coding",0.465679803884594,-3367.6,10606,-0.317518385819348
"NM_000333",4416,11.34,2.53164556962025,"coding",0.438896551724138,-2104,7250,-0.290206896551724
"NM_000339",3131,4.5,3.27868852459016,"coding",0.541045446380456,-2129.4,5567,-0.382504041674151
"NM_000341",2323,4.44,7.14285714285714,"coding",0.418322667564837,-841.7,2969,-0.283496126641967
"NM_000346",3935,3.18,2.24719101123596,"coding",0.510557110150089,-1258,3931,-0.320020351055711
"NM_000351",6366,3.22,9.92,"coding",0.432619647355164,-1809.4,6352,-0.28485516372796
"NM_000362",5496,5.6,10.4615384615385,"coding",0.486621709810746,-1545.8,4597,-0.336262780073961
"NM_000363",787,2.45,2.40963855421687,"coding",0.610913404507711,-338.1,843,-0.401067615658363
"NM_000367",3258,7.43,10.8,"coding",0.402324120603015,-1028,3184,-0.32286432160804
"NM_000373",2244,33.37,4,"coding",0.477600721587492,-2308.4,6652,-0.347023451593506
"NM_000375",1279,10.93,3.57142857142857,"coding",0.562874251497006,-507.3,1336,-0.379715568862275
"NM_000376",4791,21.37,3.50877192982456,"coding",0.539644714038128,-1713.6,4616,-0.371230502599653
"NM_000380",1439,6.5,2.77777777777778,"coding",0.432857142857143,-384.2,1400,-0.274428571428571
"NM_000382",3823,14.84,10.4516129032258,"coding",0.450445584661086,-1158.9,3703,-0.312962462867945
"NM_000386",2417,41.6,8.47058823529412,"coding",0.471174685739055,-728.6,2307,-0.315821413090594
"NM_000387",1803,12.41,10.2068965517241,"coding",0.49437570303712,-608.7,1778,-0.342350956130484
"NM_000390",5442,5.05,3.125,"coding",0.368701728576683,-1416.1,5438,-0.260408238322913
"NM_000392",4868,1.92,2.56410256410256,"coding",0.448673785738891,-1727.6,5806,-0.297554254219773
"NM_000400",2355,21.88,8.34782608695652,"coding",0.600048685491724,-1701.5,4108,-0.41419182083739
"NM_000403",1647,30.81,10.5,"coding",0.585585585585586,-682,1665,-0.40960960960961
"NM_000404",2409,49.24,11.5555555555556,"coding",0.508125247720967,-859.2,2523,-0.340546967895363
"NM_000408",2796,23.09,11.1304347826087,"coding",0.393152099105299,-1563.5,5812,-0.269012388162423
"NM_000411",5991,5.21,3.125,"coding",0.44222141384746,-2438.1,8247,-0.295634776282284
"NM_000413",2230,7.57,2.27272727272727,"coding",0.642072213500785,-600.2,1274,-0.471114599686028
"NM_000416",2059,16.21,4.88888888888889,"coding",0.394406943105111,-537.1,2074,-0.258968177434908
"NM_000421",2145,3.23,7.2,"coding",0.520298646756883,-746.9,2143,-0.348530097993467
"NM_000422",1512,50.87,20.1,"coding",0.618984838497034,-633.8,1517,-0.417798286090969
"NM_000430",5581,19.9,4.15384615384615,"coding",0.420468777956701,-1583.6,5589,-0.283342279477545
"NM_000433",2406,1.88,2.4390243902439,"coding",0.491398323775915,-738.3,2267,-0.325672695191884
"NM_000435",8091,9.16,5.66666666666667,"coding",0.630529953917051,-3942.7,8680,-0.454228110599078
