"transcript_id","length","expression","half_life","type","gc_content"
"NM_000016",2192,22.63,11.1666666666667,"coding",0.359133126934985
"NM_000017",1829,2.63,4,"coding",0.63743948359333
"NM_000021",2763,23.33,6.76923076923077,"coding",0.43436357593885
"NM_000022",1566,6.9,4.57142857142857,"coding",0.572860962566845
"NM_000026",1692,36.56,21.6,"coding",0.453085570084882
"NM_000027",2041,1.6,4,"coding",0.401080019636721
"NM_000031",3317,7.65,4.5,"coding",0.521891978267817
"NM_000033",3616,23.03,8.64,"coding",0.657672390297084
"NM_000038",10719,9.73,5.28571428571429,"coding",0.396020179372197
"NM_000046",6089,4.91,22,"coding",0.4719703215169
"NM_000047",1858,2.28,10.4242424242424,"coding",0.538530869761154
"NM_000052",8122,4.03,8.90909090909091,"coding",0.38860103626943
"NM_000053",6644,1.33,4.5,"coding",0.519399818126705
"NM_000057",4528,11.93,3.17460317460317,"coding",0.412213740458015
"NM_000059",11386,1.15,2.63157894736842,"coding",0.361803580391501
"NM_000071",2544,26.21,3.50877192982456,"coding",0.587174348697395
"NM_000075",1474,164.62,9.92592592592593,"coding",0.520107238605898
"NM_000076",1511,14.87,7.39393939393939,"coding",0.633041688111168
"NM_000080",2463,1.76,5.52941176470588,"coding",0.589846897663175
"NM_000084",3173,3.58,8.51282051282051,"coding",0.423775337837838
"NM_000088",5927,19.05,7.14285714285714,"coding",0.615488670950287
"NM_000089",5411,17.28,3.50877192982456,"coding",0.545347003154574
"NM_000093",8439,33.6,6.8,"coding",0.602463871120588
"NM_000094",9272,60.62,3.44827586206897,"coding",0.648467121655292
"NM_000097",2714,4.37,8,"coding",0.465854558877815
"NM_000098",3090,6.33,5.94594594594595,"coding",0.515376065209337
"NM_000101",743,51.56,10.4,"coding",0.680635838150289
"NM_000104",5128,24.11,2.8169014084507,"coding",0.439632042928325
"NM_000107",1820,12.19,4.33333333333333,"coding",0.539944903581267
"NM_000108",3579,18.2,12,"coding",0.379417585524456
"NM_000110",4407,8.91,3.38983050847458,"coding",0.406963599366945
"NM_000112",8082,2.57,4.72727272727273,"coding",0.395703998013409
"NM_000113",2117,31.72,5.2,"coding",0.483173076923077
"NM_000116",1934,5.63,9.05263157894737,"coding",0.603882476390346
"NM_000117",1252,52.34,16.1379310344828,"coding",0.586260733801717
"NM_000118",3142,21.56,22.2857142857143,"coding",0.631732641142115
"NM_000121",1849,15.55,2.5,"coding",0.581501451679801
