"transcript_id","length","expression","half_life","type"
"NM_138370",1901,1.01,1.98019801980198,"coding"
"NM_001039664",1665,1.32,1.98019801980198,"coding"
"NM_000894",523,2.19,1.98019801980198,"coding"
"NM_014079",2543,1.21,1.98019801980198,"coding"
"NM_001045476",1252,1.07,1.98019801980198,"coding"
"NM_024639",2716,1.2,1.98019801980198,"coding"
"NM_033411",1306,1.32,1.98019801980198,"coding"
"NM_002083",1024,1.22,1.98019801980198,"coding"
"NM_001007533",805,1.91,1.98019801980198,"coding"
"NM_148979",1504,1.28,1.98019801980198,"coding"
"NM_023940",1979,1.11,1.98019801980198,"coding"
"NM_005293",1528,3.72,2,"coding"
"NM_152485",1642,6.1,2,"coding"
"NM_006763",2718,5.43,2,"coding"
"NM_006300",4132,1.07,2,"coding"
"NM_203403",2718,1.94,2,"coding"
"NM_032521",4625,2.96,2.02020202020202,"coding"
"NM_021146",2255,1.1,2.02020202020202,"coding"
"NM_007147",3788,2.16,2.02020202020202,"coding"
"NM_182699",2142,1.12,2.02020202020202,"coding"
"NM_012342",1732,18.05,2.04081632653061,"coding"
"NM_001024675",2028,4.23,2.04081632653061,"coding"
"NM_152268",2364,8.9,2.04081632653061,"coding"
"NM_024310",2094,3.27,2.04081632653061,"coding"
"NM_213598",3658,4.74,2.04081632653061,"coding"
"NM_014383",1960,2.11,2.04081632653061,"coding"
"NM_025231",1290,4.86,2.04081632653061,"coding"
"NM_001008404",1847,1.25,2.04081632653061,"coding"
"NM_001004055",1486,1.23,2.04081632653061,"coding"
"NM_152465",1263,1.82,2.04081632653061,"coding"
"NM_017565",2267,1.91,2.04081632653061,"coding"
"NM_001335",1292,1.41,2.04081632653061,"coding"
"NM_020801",4146,10.14,2.06185567010309,"coding"
"NM_005199",2187,2.86,2.06185567010309,"coding"
"NM_014484",2458,9.34,2.06185567010309,"coding"
"NM_018444",4215,2.76,2.06185567010309,"coding"
"NM_138455",1236,4.21,2.06185567010309,"coding"
"NM_025195",3658,10.89,2.06185567010309,"coding"
"NM_018566",6265,5.42,2.06185567010309,"coding"
"NM_001559",4040,4.96,2.06185567010309,"coding"
"NM_006472",2704,116.25,2.06185567010309,"coding"
"NM_198480",4033,1.45,2.06185567010309,"coding"
"NM_020169",1144,1.18,2.06185567010309,"coding"
"NM_181727",2430,1.46,2.06185567010309,"coding"
"NM_001001712",564,2.73,2.06185567010309,"coding"
"NM_005384",2104,10.09,2.06185567010309,"coding"
"NM_006647",1650,1.1,2.06185567010309,"coding"
"NM_024014",863,1.66,2.06185567010309,"coding"
"NM_001014830",975,1.68,2.06185567010309,"coding"
"NM_018348",3970,4.93,2.06185567010309,"coding"
"NM_003885",3870,2.16,2.06185567010309,"coding"
"NM_148886",2570,3.71,2.06185567010309,"coding"
"NM_203371",3024,2.61,2.06185567010309,"coding"
"NM_003772",2930,2.69,2.06185567010309,"coding"
"NM_183375",1011,3.04,2.06185567010309,"coding"
"NM_020177",5813,6.8,2.08333333333333,"coding"
"NM_001002919",496,2.72,2.08333333333333,"coding"
"NM_016544",4869,1.02,2.08333333333333,"coding"
"NM_025203",3834,6.11,2.08333333333333,"coding"
"NM_012476",1164,1.15,2.08333333333333,"coding"
"NM_006242",3481,1.68,2.08333333333333,"coding"
"NM_000825",1512,1.65,2.08333333333333,"coding"
"NM_018364",6604,3.74,2.08333333333333,"coding"
"NM_052943",2385,2.95,2.08333333333333,"coding"
"NM_004433",5036,2.77,2.08333333333333,"coding"
"NM_024869",1512,1.71,2.08333333333333,"coding"
"NM_133444",3954,7.32,2.08333333333333,"coding"
"NM_152791",2075,2.41,2.08333333333333,"coding"
"NM_145071",2035,6.35,2.08333333333333,"coding"
"NM_138333",3646,3.78,2.08333333333333,"coding"
"NM_014830",6170,5.59,2.08333333333333,"coding"
"NM_017633",1702,47.69,2.08333333333333,"coding"
"NM_003532",462,8.35,2.08333333333333,"coding"
"NM_152457",1838,3.04,2.08333333333333,"coding"
"NM_024712",2548,2.27,2.08333333333333,"coding"
"NM_003955",2746,18.13,2.08333333333333,"coding"
"NM_024784",2948,6.25,2.08333333333333,"coding"
"NM_145805",1836,4.67,2.08333333333333,"coding"
"NM_001001703",2373,1.86,2.10526315789474,"coding"
"NM_004040",2384,52.87,2.10526315789474,"coding"
"NM_138395",3043,14.36,2.10526315789474,"coding"
"NM_001017396",3951,2.24,2.10526315789474,"coding"
"NM_001008490",1708,29.26,2.10526315789474,"coding"
"NM_024747",2674,24.72,2.10526315789474,"coding"
"NM_019058",1752,208.85,2.10526315789474,"coding"
"NM_198391",3977,2.64,2.10526315789474,"coding"
"NM_080489",1475,8.3,2.10526315789474,"coding"
"NM_080752",2789,1.86,2.10526315789474,"coding"
"NM_053001",1759,9.05,2.10526315789474,"coding"
"NM_016102",1851,4.53,2.10526315789474,"coding"
"NM_144728",2619,10.94,2.10526315789474,"coding"
"NM_002928",2447,24.8,2.10526315789474,"coding"
"NM_030634",4493,4.98,2.10526315789474,"coding"
"NM_138417",1712,23.33,2.10526315789474,"coding"
"NM_001441",2063,2.52,2.10526315789474,"coding"
"NM_152835",4299,1.97,2.10526315789474,"coding"
"NM_032838",2643,4.09,2.10526315789474,"coding"
"NM_013256",3101,4.51,2.10526315789474,"coding"
"NM_203344",1542,13.57,2.10526315789474,"coding"
"NM_145287",2001,2.07,2.10526315789474,"coding"
"NM_003489",7292,1.98,2.10526315789474,"coding"
"NM_014805",5567,3.36,2.10526315789474,"coding"
"NM_016474",2975,6.9,2.10526315789474,"coding"
"NM_001010907",409,10.36,2.10526315789474,"coding"
"NM_003408",2752,1.19,2.10526315789474,"coding"
"NM_138432",1414,1.63,2.10526315789474,"coding"
"NM_012177",2082,21.5,2.10526315789474,"coding"
"NM_152735",2730,14.98,2.10526315789474,"coding"
"NM_013262",3086,20.79,2.10526315789474,"coding"
"NM_001015072",974,3.26,2.10526315789474,"coding"
"NM_006980",2163,7.44,2.10526315789474,"coding"
"NM_012328",2371,2.11,2.10526315789474,"coding"
"NM_001014444",1303,1.69,2.10526315789474,"coding"
"NM_052838",1634,2.12,2.10526315789474,"coding"
"NM_152652",2203,6.04,2.10526315789474,"coding"
"NM_005353",3912,2.29,2.10526315789474,"coding"
"NM_005853",2064,2.94,2.10526315789474,"coding"
"NM_014519",2125,7.53,2.10526315789474,"coding"
"NM_207387",2353,7.91,2.10526315789474,"coding"
"NM_001661",1602,5.18,2.10526315789474,"coding"
"NM_009587",1835,1.83,2.10526315789474,"coding"
"NM_001029859",3396,5.22,2.10526315789474,"coding"
"NM_014743",7840,7.65,2.10526315789474,"coding"
"NM_145715",2072,1.62,2.10526315789474,"coding"
"NM_002202",2729,3.78,2.12765957446809,"coding"
"NM_002908",2592,5.39,2.12765957446809,"coding"
"NM_005798",7311,1.78,2.12765957446809,"coding"
"NM_005800",3829,7.25,2.12765957446809,"coding"
"NM_032859",5316,2.05,2.12765957446809,"coding"
"NM_145312",2070,4.28,2.12765957446809,"coding"
"NM_006526",5653,11.37,2.12765957446809,"coding"
"NM_015435",4366,5.23,2.12765957446809,"coding"
"NM_001037234",2165,1.87,2.12765957446809,"coding"
"NM_181702",2205,2.79,2.12765957446809,"coding"
